codigo_depto;codigo_provincia;departamento;municipio;codigo;anno;pob_total;formal_rate;vacancy_rate;ruralidad;t_crea;altura;areakm2;gandina;gcaribe;gpacifica;gorinoquia;gamazonia;pruralpet;pmujerpet;pdependiente;salario_bas;pregimen_subsidiado;regimen_subsidiado;promleccri;prommatema;promglobal;vab;va_actividad_primaria;va_actividad_secundaria;va_actividad_terciaria;vabpc;pprimary;psecondary;pterciary;distancia_mercado;disbogota;dismdo;pgroup1;pgroup2;pgroup3;pgroup4;pgroup5;pgroup6;num_obser_freq;num_obser_freq_adj;informales_freq;informales_freq_adj;ocupados_freq;ocupados_freq_adj;informalidad;informalidad_adj;informalidad_adj_var;fharcsin_est;Low;Up;fh_benchmark;MERF_resultados;lisa_clusters;lisa_clusters_nombres
8;858;Atlántico;Galapa;08296;2011;50713;2.01772721;;7.293987735;138;87;98;0;1;0;0;0;9.77042591;48.8882018;85.99893647;538451.3333;41.57119476;21082;42.17867435;44.15273775;213.6829971;240.4430934;36.16804586;67.84377244;136.4312751;0.474125162;15.04224778;28.21614524;56.74160699;13.78767586;723.0982056;13.78767586;17.83379653;38.10232121;11.64128861;17.53159024;39.85933402;11.88905666;;;;;;;;;;71.75276926;69.61972876;73.8481555;54.528035;71.84474507;2;LL
8;858;Atlántico;Galapa;08296;2016;56946;3.323616526;0.481157588;7.438626067;143;87;98;0;1;0;0;0;9.900238802;49.13294798;79.47287158;691595.8333;41.64296;23714;51.14487633;48.38162544;249.1713781;706.7832497;22.70523548;338.7610712;345.316943;1.241146436;3.21247504;47.92998014;48.85754482;13.78767586;723.0982056;13.78767586;18.28002098;38.65757735;12.36497116;17.54348823;41.06065418;13.09410395;;;;;;;;;;61.45799376;59.09983552;63.7025327;47.5497927;66.28144064;2;LL
8;858;Atlántico;Galapa;08296;2021;66485;7.093329322;0.940061668;7.219673611;148;87;98;0;1;0;0;0;9.674694498;49.141216;74.93323595;905965.75;45.5320749;30272;50.58982468;47.64228821;235.3100128;1085.176873;37.46137891;424.4486726;623.2668217;1.63221309;3.4520989;39.1133172;57.4345839;13.78767586;723.0982056;13.78767586;17.59028923;39.8861082;13.80488536;16.99275362;41.8115942;14.74637681;;;;;;;;;;68.2234202;66.14657261;70.2535073;68.1192955;66.15238633;0;NA
8;858;Atlántico;Puerto Colombia;08573;2011;42626;2.426922536;;14.92516305;161;4;73;0;1;0;0;0;20.58045289;47.9625658;72.24785994;618717.0833;38.90817811;16585;43.22618824;42.47157647;208.4517647;302.747512;9.65325557;20.11426341;272.979993;0.71024143;3.188549926;6.643907088;90.16754299;5.751773834;735.7788696;5.751773834;17.37180093;40.55623761;14.16564359;16.48172324;42.70328236;15.46064901;497;64919;150;21268;216;28719;69.44444444;74.05550333;0.142274075;74.10483777;70.48778826;77.3439695;56.3154737;70.56884907;0;NA
8;858;Atlántico;Puerto Colombia;08573;2016;46638;4.774004031;0.390239719;13.58977658;166;4;73;0;1;0;0;0;18.52894598;49.07619215;68.00507453;890813;32.9195077;15353;51.25149701;49.16167665;251.9041916;615.264057;5.092111755;99.34378325;510.828162;1.319233366;0.827630299;16.146528;83.0258417;5.751773834;735.7788696;5.751773834;17.39741058;40.77243801;15.78231293;16.30822119;43.15599715;17.03349683;562;838493;160;19807;246;30691;65.04065;64.53683;0.158133521;64.2588467;60.07479521;68.3037867;49.7168009;65.29546374;2;LL
8;858;Atlántico;Puerto Colombia;08573;2021;53716;6.923604389;0.43190111;12.42646511;171;4;73;0;1;0;0;0;17.0784821;49.38335489;64.69626805;971443;32.37769007;17392;53.45946121;50.20270157;251.783783;624.9228627;7.28586244;52.73192159;564.9050787;1.163383094;1.165881883;8.438148887;90.39596923;5.751773834;735.7788696;5.751773834;16.75526829;41.57264696;17.48575362;15.78947368;43.42558671;19.03224636;446;808851;112;225610;184;362222;60.86956;62.28501;0.195279659;62.53528673;57.84598845;67.1413288;62.4398434;62.95673626;0;NA
